Record Id,Data Source,Allocated  NN,Pcode,Xcord,Ycord,Last  Modified,Generic Geography/Street name?
1,Staff Survey,Leith,EH6 5RW,326549,676276,04/09/2013,
2,Staff Survey,Shandon,EH11 1LS,323515,672026,04/09/2013,
3,Staff Survey,Corstorphine,EH4 8DQ,318957,674287,04/09/2013,
4,Staff Survey,Leith,EH6 7AE,327190,676168,04/09/2013,
5,Staff Survey,Marchmont,EH9 1JB,325560,672441,04/09/2013,
6,Staff Survey,Leith,EH6 5HD,326844,675802,04/09/2013,
7,Staff Survey,Craiglockhart,EH14 1DL,322488,670219,04/09/2013,
8,Staff Survey,Southside,EH8 9JN,326113,672900,04/09/2013,
9,Staff Survey,Bellevue,EH7 4NG,326097,674981,04/09/2013,
10,Staff Survey,Newington,EH8 9LS,326137,672812,04/09/2013,
11,Staff Survey,Shandon,EH11 1SW,323254,671701,30/09/2013,
12,Staff Survey,Pilrig,EH7 4RG,326332,675324,04/09/2013,
13,Staff Survey,Willowbrae,EH8 7JU,328842,673606,04/09/2013,
14,Staff Survey,Craigmillar,EH16 4GW,329647,671423,04/09/2013,
15,Staff Survey,Fettes,EH4 2GP,323225,675435,04/09/2013,
16,Staff Survey,South West Edinburgh,EH11 4ND,318988,670128,04/09/2013,generic
17,Staff Survey,City Centre,EH1 1NB,326058,673593,04/09/2013,
18,Staff Survey,Craigentinny,EH7 6NW,328922,674562,04/09/2013,
20,Staff Survey,West Pilton,EH4 4EU,322017,676092,04/09/2013,
21,Staff Survey,Morningside,EH10 5NX,324362,670785,04/09/2013,
22,Staff Survey,Gorgie,EH11 1TZ,323178,672281,04/09/2013,
23,Staff Survey,Trinity,EH5 3HA,324951,676588,04/09/2013,
24,Staff Survey,Redbraes,EH7 4LH,325904,675767,04/09/2013,
25,Staff Survey,Craigentinny,EH7 6LT,328762,674755,04/09/2013,
26,Staff Survey,Davidson's Mains/Silverknowes,EH4 5EY,320472,675812,04/09/2013,
27,Staff Survey,Mountcastle,EH8 7SE,329433,673977,04/09/2013,
28,Staff Survey,Roseburn,EH12 5QT,322377,673086,04/09/2013,
29,Staff Survey,Craigentinny,EH7 6TZ,329607,674484,04/09/2013,
30,Staff Survey,Leith,EH6 7JG,327642,676036,04/09/2013,
31,Staff Survey,Portobello/Piershill/Craigentinny,EH7 6RS,329151,674250,04/09/2013,
32,Staff Survey,Niddrie,EH16 4LR,329730,671514,04/09/2013,
33,Staff Survey,Portobello,EH15 2BZ,330964,673718,04/09/2013,
34,Staff Survey,Prestonfield,EH16 5EL,327441,671683,04/09/2013,
35,Staff Survey,The Gyle,EH12 9LA,318806,672219,04/09/2013,
36,Staff Survey,Currie,EH14 5RP,317223,667852,04/09/2013,
37,Staff Survey,Haymarket,EH11 2AR,324005,672960,04/09/2013,
38,Staff Survey,Trinity,EH5 3AX,325012,676196,04/09/2013,
39,Staff Survey,Chesser,EH14 1XB,321843,671160,04/09/2013,
40,Staff Survey,South Queensferry,EH30 9RR,312263,678384,04/09/2013,
41,Staff Survey,Leith,EH6 8BN,327719,675734,04/09/2013,
42,Staff Survey,Shandon,EH11 1RN,323171,671488,04/09/2013,
43,Staff Survey,Pilton,EH5 2LA,323165,676181,04/09/2013,
44,Staff Survey,Corstorphine,EH12 8GD,318554,673363,04/09/2013,
45,Staff Survey,Leith Docks,EH6 7BZ,327163,676757,04/09/2013,
46,Staff Survey,North Edinburgh,EH5 3JH,324756,676883,04/09/2013,generic
47,Staff Survey,The Inch,EH16 5SH,328099,670331,04/09/2013,
48,Staff Survey,Balgreen,EH11 2SD,322299,672102,04/09/2013,
49,Staff Survey,North Fettes,EH5 2GJ,323702,676247,04/09/2013,
50,Staff Survey,Balerno,EH14 7EJ,316388,666035,04/09/2013,
51,Staff Survey,Corstorphine,EH12 8BE,319621,673023,04/09/2013,
52,Staff Survey,Restalrig,EH7 6HF,328398,675091,04/09/2013,
53,Staff Survey,Blackhall,EH4 7TD,320912,674462,04/09/2013,
54,Staff Survey,Hillside,EH7 5EF,326688,674522,04/09/2013,
55,Staff Survey,South Queensferry,EH30 9RZ,312024,678295,04/09/2013,
56,Staff Survey,North West Edinburgh,EH4 7SJ,319470,674357,04/09/2013,generic
57,Staff Survey,Leith,EH6 4AR,326423,676599,04/09/2013,
58,Staff Survey,Muirhouse,EH4 4TN,321418,676117,04/09/2013,
59,Staff Survey,Newington,EH9 2DF,326663,671478,04/09/2013,
60,Staff Survey,Trinity,EH5 3NY,324708,676232,04/09/2013,
61,Staff Survey,Leith,EH7 5YQ,326629,674833,04/09/2013,
62,Staff Survey,Fairmilehead,EH10 7HF,323706,668130,04/09/2013,
63,Staff Survey,Abbeyhill/Holyrood,EH8 8EU,327213,674138,04/09/2013,
64,Staff Survey,Leith,EH6 7LX,327739,675800,04/09/2013,
65,Staff Survey,Willowbrae,EH8 7LG,328735,673416,04/09/2013,
66,Staff Survey,NN not supplied,EH11 3HX,321656,671695,04/09/2013,
67,Staff Survey,Leith,EH7 5RP,327021,674641,04/09/2013,
68,Staff Survey,Blackhall,EH4 2AR,321664,675098,04/09/2013,
69,Staff Survey,The Grange,EH9 2HS,325671,671121,04/09/2013,
70,Staff Survey,Lockharton,EH14 1AU,323123,671036,04/09/2013,
71,Staff Survey,Leith,EH6 7QD,328245,675642,04/09/2013,
72,Staff Survey,Liberton,EH17 7QP,328227,669266,04/09/2013,
73,Staff Survey,NN not supplied,EH11 2LT,323396,672597,04/09/2013,
74,Staff Survey,Trinity,EH5 3DU,325267,676798,04/09/2013,
75,Staff Survey,North Edinburgh,EH4 2TZ,322121,675574,04/09/2013,generic
76,Staff Survey,Juniper Green/Currie/Balerno,EH14 5JY,319068,668208,30/09/2013,
77,Staff Survey,Drylaw,EH4 2RX,322477,675233,04/09/2013,
78,Staff Survey,Granton Waterfront,EH5 1QS,322837,677153,04/09/2013,
79,Staff Survey,Stockbridge,EH4 1DD,323730,674509,04/09/2013,
81,Staff Survey,Leith,EH7 5PA,327088,674869,04/09/2013,
82,Staff Survey,Mortonhall,EH17 8SR,327029,668049,04/09/2013,
83,Staff Survey,Drylaw,EH4 2ST,321888,675079,04/09/2013,
85,Staff Survey,Leith,EH6 6HH,326644,676532,04/09/2013,
86,Staff Survey,South Queensferry,EH30 9YL,312362,677776,04/09/2013,
87,Staff Survey,Portobello,EH15 2QZ,331566,672374,04/09/2013,
88,Staff Survey,Dalmeny,EH30 9TY,314415,677318,04/09/2013,
89,Staff Survey,Leith,EH6 8QQ,326979,675334,04/09/2013,
90,Staff Survey,Hutchison,EH14 1RD,322424,671530,04/09/2013,
92,Staff Survey,Fettes,EH4 1TF,323460,675548,04/09/2013,
