Record ID,Data Source,Allocated NN,Postcode,Latitude,Longitude
1,Staff Survey,Leith,EH6 5RW,55.97383968,-3.178470147
2,Staff Survey,Shandon,EH11 1LS,55.93518902,-3.22586439
3,Staff Survey,Corstorphine,EH4 8DQ,55.95475092,-3.299484442
4,Staff Survey,Leith,EH6 7AE,55.97296728,-3.168172547
5,Staff Survey,Marchmont,EH9 1JB,55.9392382,-3.193252557
6,Staff Survey,Leith,EH6 5HD,55.96936473,-3.173783825
7,Staff Survey,Craiglockhart,EH14 1DL,55.9187927,-3.241780058
8,Staff Survey,Southside,EH8 9JN,55.94344673,-3.184527717
9,Staff Survey,Bellevue,EH7 4NG,55.96213752,-3.185355023
10,Staff Survey,Newington,EH8 9LS,55.94265993,-3.184119431
11,Staff Survey,Shandon,EH11 1SW,55.93222801,-3.229948644
12,Staff Survey,Pilrig,EH7 4RG,55.96525476,-3.18168556
13,Staff Survey,Willowbrae,EH8 7JU,55.95020093,-3.141031548
14,Staff Survey,Craigmillar,EH16 4GW,55.93072264,-3.128118274
15,Staff Survey,Fettes,EH4 2GP,55.9658109,-3.232247585
16,Staff Survey,South West Edinburgh,EH11 4ND,55.91739809,-3.297738229
17,Staff Survey,City Centre,EH1 1NB,55.94966336,-3.185598324
18,Staff Survey,Craigentinny,EH7 6NW,55.95880049,-3.140003192
20,Staff Survey,West Pilton,EH4 4EU,55.97147141,-3.251014286
21,Staff Survey,Morningside,EH10 5NX,55.92413094,-3.211928287
22,Staff Survey,Gorgie,EH11 1TZ,55.93742583,-3.231330067
23,Staff Survey,Trinity,EH5 3HA,55.97639489,-3.204155754
24,Staff Survey,Redbraes,EH7 4LH,55.96916823,-3.188662272
25,Staff Survey,Craigentinny,EH7 6LT,55.96051048,-3.142616397
26,Staff Survey,Davidson's Mains/Silverknowes,EH4 5EY,55.96870265,-3.275678827
27,Staff Survey,Mountcastle,EH8 7SE,55.95362087,-3.131667042
28,Staff Survey,Roseburn,EH12 5QT,55.94452806,-3.244381014
29,Staff Survey,Craigentinny,EH7 6TZ,55.95812424,-3.129524016
30,Staff Survey,Leith,EH6 7JG,55.97184995,-3.160896459
31,Staff Survey,Portobello/Piershill/Craigentinny,EH7 6RS,55.95603168,-3.136254029
32,Staff Survey,Niddrie,EH16 4LR,55.93153927,-3.126269271
33,Staff Survey,Portobello,EH15 2BZ,55.95151694,-3.107087399
34,Staff Survey,Prestonfield,EH16 5EL,55.93271705,-3.162943082
35,Staff Survey,The Gyle,EH12 9LA,55.93614972,-3.301278792
36,Staff Survey,Currie,EH14 5RP,55.89665342,-3.325271945
37,Staff Survey,Haymarket,EH11 2AR,55.94365667,-3.218286293
38,Staff Survey,Trinity,EH5 3AX,55.9728832,-3.2030692
39,Staff Survey,Chesser,EH14 1XB,55.92714091,-3.252370152
40,Staff Survey,South Queensferry,EH30 9RR,55.99037337,-3.407991857
41,Staff Survey,Leith,EH6 8BN,55.96914873,-3.159581865
42,Staff Survey,Shandon,EH11 1RN,55.93030143,-3.231216096
43,Staff Survey,Pilton,EH5 2LA,55.97245613,-3.232651154
44,Staff Survey,Corstorphine,EH12 8GD,55.94638295,-3.305657277
45,Staff Survey,Leith Docks,EH6 7BZ,55.97825407,-3.168764631
46,Staff Survey,North Edinburgh,EH5 3JH,55.97901423,-3.207362246
47,Staff Survey,The Inch,EH16 5SH,55.92067103,-3.152053038
48,Staff Survey,Balgreen,EH11 2SD,55.93567653,-3.245345817
49,Staff Survey,North Fettes,EH5 2GJ,55.97289234,-3.224044332
50,Staff Survey,Balerno,EH14 7EJ,55.88018802,-3.338058767
51,Staff Survey,Corstorphine,EH12 8BE,55.94350872,-3.288476147
52,Staff Survey,Restalrig,EH7 6HF,55.96347456,-3.148534866
53,Staff Survey,Blackhall,EH4 7TD,55.95664897,-3.268234786
54,Staff Survey,Hillside,EH7 5EF,55.95810506,-3.175765474
55,Staff Survey,South Queensferry,EH30 9RZ,55.98953018,-3.411792592
56,Staff Survey,North West Edinburgh,EH4 7SJ,55.95546603,-3.291291914
57,Staff Survey,Leith,EH6 4AR,55.97672181,-3.180576961
58,Staff Survey,Muirhouse,EH4 4TN,55.97159822,-3.260616232
59,Staff Survey,Newington,EH9 2DF,55.9307574,-3.175337093
60,Staff Survey,Trinity,EH5 3NY,55.97315895,-3.207948953
61,Staff Survey,Leith,EH7 5YQ,55.96088971,-3.176795012
62,Staff Survey,Fairmilehead,EH10 7HF,55.9002226,-3.221706335
63,Staff Survey,Abbeyhill/Holyrood,EH8 8EU,55.95473556,-3.167254927
64,Staff Survey,Leith,EH6 7LX,55.96974461,-3.15927925
65,Staff Survey,Willowbrae,EH8 7LG,55.94847829,-3.1426943
66,Staff Survey,NN not supplied,EH11 3HX,55.93191615,-3.255517488
67,Staff Survey,Leith,EH7 5RP,55.95922478,-3.17046549
68,Staff Survey,Blackhall,EH4 2AR,55.96248522,-3.25637913
69,Staff Survey,The Grange,EH9 2HS,55.92739805,-3.191112063
70,Staff Survey,Lockharton,EH14 1AU,55.92625971,-3.231936142
71,Staff Survey,Leith,EH6 7QD,55.96840128,-3.15113215
72,Staff Survey,Liberton,EH17 7QP,55.91112329,-3.149722114
73,Staff Survey,NN not supplied,EH11 2LT,55.94029918,-3.227931039
74,Staff Survey,Trinity,EH5 3DU,55.97833062,-3.199151763
75,Staff Survey,North Edinburgh,EH4 2TZ,55.96683533,-3.249198458
76,Staff Survey,Juniper Green/Currie/Balerno,EH14 5JY,55.90016515,-3.295883166
77,Staff Survey,Drylaw,EH4 2RX,55.96382992,-3.243398529
78,Staff Survey,Granton Waterfront,EH5 1QS,55.98151059,-3.237426842
79,Staff Survey,Stockbridge,EH4 1DD,55.95752727,-3.223126791
81,Staff Survey,Leith,EH7 5PA,55.96128306,-3.169454377
82,Staff Survey,Mortonhall,EH17 8SR,55.90001068,-3.168553392
